TIME,SATS,LATITUDE,LONGITUDE,ALT,COURSE,SPEED,PRESSURE,INTTEMP,EXTTEMP,HUMIDITY,GX,GY,GZ,AX,AY,AZ,MX,MY,MZ
16362700,4,31.914642,-98.599166,1936.68,75.9,4.38,1004.13,18.44,8.5,49.8,-12.21,-6.96,2.44,-0.15,-0.08,0.63,1.17,-3.1,5.73
16362800,5,31.91455,-98.599166,1946.85,75.9,4.38,1004.13,18.37,14.75,49.8,-12.63,-6.96,2.38,-0.15,-0.09,0.64,1.18,-3.09,5.72
16362800,5,31.91455,-98.599166,1946.85,75.9,4.38,1004.29,18.37,14.5,49.7,-12.51,-6.84,2.5,-0.15,-0.09,0.63,1.17,-3.11,5.73
16362900,6,31.91459,-98.599464,1873.69,80.31,1.86,1004.29,18.31,14.25,50.1,-12.33,-6.59,2.69,-0.15,-0.05,0.61,1.17,-3.1,5.73
16363000,6,31.914596,-98.599586,1840.88,80.31,1.86,1004.29,18.31,14,50.1,-12.63,-6.9,2.62,-0.11,-0.04,0.65,1.2,-3.04,5.73
16363000,6,31.914596,-98.599586,1840.88,80.31,1.86,1004.29,18.31,13.75,49.7,-12.39,-6.84,2.38,-0.12,-0.07,0.57,1.18,-3.09,5.74
16363100,7,31.914594,-98.599678,1816.93,80.31,1.86,1004.13,18.25,13.75,49.7,-12.39,-7.2,2.69,-0.13,-0.12,0.64,1.17,-3.04,5.73
16363200,7,31.914592,-98.599739,1798.23,80.83,0.76,1004.53,18.31,14,50.7,-12.39,-6.96,2.62,-0.12,-0.13,0.65,1.18,-3.07,5.72
16363300,7,31.914594,-98.599792,1780.84,80.83,0.76,1004.29,18.31,14.25,50.7,-12.45,-6.9,2.81,-0.14,-0.13,0.61,1.17,-3.05,5.72
16363300,7,31.914594,-98.599792,1780.84,80.83,0.76,1004.29,18.31,14.25,51.9,-12.27,-6.77,2.75,-0.17,-0.12,0.61,1.17,-3.07,5.73
